STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,CITY_X,CITY_Y,WARN_AREA,AGENCY1,MWHT_STN1,AGENCY2,MWHT_STN2,AGENCY3,SST_STN1,AGENCY4,SST_STN2,FISH_NAME,FISH_TYPE,CITY_MID
SF2,황해남부,가거도,125.0880556,34.07308333,240,392,82,156,97,169,130,291,2,121,191,25,50,서해남부남쪽안쪽먼바다,해양기상,가거도,해양부이,신안가거초,해양기상,가거도,해양부이,신안가거초,감성돔,BP,11F20000
SF21,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,열기,GR,11F20000
SF35,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,농어,SB,11F20000
SF36,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,볼락,GP,11F20000
SF37,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,참돔,RP,11F20000
SF38,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,감성돔,BP,11F20000
SF39,남해서부,거문도,127.341139,34.030417,310,390,133,158,124,168,401,296,2,148,192,68,49,남해서부동쪽먼바다,해양기상,거문도,파고부이,초도,조위관측,거문도,해양기상,거문도,우럭,RF,11F20000
SF14,남해동부,거제도,128.7629444,34.90544444,355,420,165,133,141,179,212,251,4,165,181,91,69,거제시동부앞바다,파고부이,해금강,해양기상,거제도,조위관측,거제도,해양기상,거제도,우럭,RF,11H20000
SF11,황해중부,국화도,126.5581667,37.06027778,286,496,116,74,115,205,427,233,1,139,155,52,115,인천·경기남부앞바다,파고부이,풍도,파고부이,이작도,해양부이,평택·당진항,파고부이,풍도,우럭,RF,11C20000
SF56,제주도,김녕,126.7394,33.5622,292,374,120,171,117,163,449,232,3,141,197,57,39,제주도동부앞바다,파고부이,김녕,파고부이,제주항,파고부이,김녕,조위관측,제주,벵에돔,OP,11G00000
SF57,제주도,김녕,126.7394,33.5622,292,374,120,171,117,163,449,232,3,141,197,57,39,제주도동부앞바다,파고부이,김녕,파고부이,제주항,파고부이,김녕,조위관측,제주,농어,SB,11G00000
SF58,제주도,김녕,126.7394,33.5622,292,374,120,171,117,163,449,232,3,141,197,57,39,제주도동부앞바다,파고부이,김녕,파고부이,제주항,파고부이,김녕,조위관측,제주,돌돔,RB,11G00000
SF59,제주도,김녕,126.7394,33.5622,292,374,120,171,117,163,449,232,3,141,197,57,39,제주도동부앞바다,파고부이,김녕,파고부이,제주항,파고부이,김녕,조위관측,제주,참돔,RP,11G00000
SF49,황해중부,모항항,126.11107,36.79456,272,487,106,82,109,202,373,265,1,133,158,46,109,충남북부앞바다,파고부이,신진도,파고부이,안면도,파고부이,신진도,파고부이,안면도,우럭,RF,11C20000
SF50,황해중부,모항항,126.11107,36.79456,272,487,106,82,109,202,373,265,1,133,158,46,109,충남북부앞바다,파고부이,신진도,파고부이,안면도,파고부이,신진도,파고부이,안면도,감성돔,BP,11C20000
SF51,황해중부,방포항,126.30287,36.51383,278,477,110,90,112,198,396,298,1,136,162,49,104,충남남부앞바다,파고부이,안면도,파고부이,삽시도,파고부이,삽시도,파고부이,안면도,우럭,RF,11C20000
SF74,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,우럭,RF,11H20000
SF75,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,감성돔,BP,11H20000
SF76,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,돌돔,RB,11H20000
SF77,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,참돔,RP,11H20000
SF78,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,벵에돔,OP,11H20000
SF79,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,농어,SB,11H20000
SF80,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,열기,GR,11H20000
SF81,남해동부,부산남부,129.0774,35.0438,365,425,172,129,145,181,249,235,4,169,179,97,73,부산앞바다,해양부이,대한해협,파고부이,오륙도,해양부이,부산항,해양부이,감천항,볼락,GP,11H20000
SF67,남해동부,부산동부,129.2288,35.1851,370,430,176,126,147,182,267,218,4,171,178,101,76,부산앞바다,파고부이,기장,해양부이,송정해수욕장,해양부이,한수원_기장,해양부이,송정해수욕장,우럭,RF,11H20000
SF68,남해동부,부산동부,129.2288,35.1851,370,430,176,126,147,182,267,218,4,171,178,101,76,부산앞바다,파고부이,기장,해양부이,송정해수욕장,해양부이,한수원_기장,해양부이,송정해수욕장,감성돔,BP,11H20000
SF69,남해동부,부산동부,129.2288,35.1851,370,430,176,126,147,182,267,218,4,171,178,101,76,부산앞바다,파고부이,기장,해양부이,송정해수욕장,해양부이,한수원_기장,해양부이,송정해수욕장,참돔,RP,11H20000
SF70,남해동부,부산동부,129.2288,35.1851,370,430,176,126,147,182,267,218,4,171,178,101,76,부산앞바다,파고부이,기장,해양부이,송정해수욕장,해양부이,한수원_기장,해양부이,송정해수욕장,벵에돔,OP,11H20000
SF71,남해동부,부산동부,129.2288,35.1851,370,430,176,126,147,182,267,218,4,171,178,101,76,부산앞바다,파고부이,기장,해양부이,송정해수욕장,해양부이,한수원_기장,해양부이,송정해수욕장,농어,SB,11H20000
SF72,남해동부,부산동부,129.2288,35.1851,370,430,176,126,147,182,267,218,4,171,178,101,76,부산앞바다,파고부이,기장,해양부이,송정해수욕장,해양부이,한수원_기장,해양부이,송정해수욕장,열기,GR,11H20000
SF73,남해동부,부산동부,129.2288,35.1851,370,430,176,126,147,182,267,218,4,171,178,101,76,부산앞바다,파고부이,기장,해양부이,송정해수욕장,해양부이,한수원_기장,해양부이,송정해수욕장,볼락,GP,11H20000
SF60,남해동부,부산서부,128.9118,35.0075,360,424,168,131,143,180,229,239,4,167,180,95,72,부산앞바다,해양부이,대한해협,파고부이,다대포,해양부이,감천항,조위관측,가덕도,우럭,RF,11H20000
SF61,남해동부,부산서부,128.9118,35.0075,360,424,168,131,143,180,229,239,4,167,180,95,72,부산앞바다,해양부이,대한해협,파고부이,다대포,해양부이,감천항,조위관측,가덕도,감성돔,BP,11H20000
SF62,남해동부,부산서부,128.9118,35.0075,360,424,168,131,143,180,229,239,4,167,180,95,72,부산앞바다,해양부이,대한해협,파고부이,다대포,해양부이,감천항,조위관측,가덕도,돌돔,RB,11H20000
SF63,남해동부,부산서부,128.9118,35.0075,360,424,168,131,143,180,229,239,4,167,180,95,72,부산앞바다,해양부이,대한해협,파고부이,다대포,해양부이,감천항,조위관측,가덕도,참돔,RP,11H20000
SF64,남해동부,부산서부,128.9118,35.0075,360,424,168,131,143,180,229,239,4,167,180,95,72,부산앞바다,해양부이,대한해협,파고부이,다대포,해양부이,감천항,조위관측,가덕도,벵에돔,OP,11H20000
SF65,남해동부,부산서부,128.9118,35.0075,360,424,168,131,143,180,229,239,4,167,180,95,72,부산앞바다,해양부이,대한해협,파고부이,다대포,해양부이,감천항,조위관측,가덕도,농어,SB,11H20000
SF66,남해동부,부산서부,128.9118,35.0075,360,424,168,131,143,180,229,239,4,167,180,95,72,부산앞바다,해양부이,대한해협,파고부이,다대포,해양부이,감천항,조위관측,가덕도,볼락,GP,11H20000
SF1,황해남부,상왕등도,126.1108056,35.66680556,272,447,106,113,109,188,254,100,2,133,172,44,84,서해남부북쪽안쪽먼바다,해양부이,상왕등도,파고부이,위도,해양부이,상왕등도,파고부이,위도,감성돔,BP,11F20000
SF17,황해남부,상왕등도,126.1108056,35.66680556,272,447,106,113,109,188,254,100,2,133,172,44,84,서해남부북쪽안쪽먼바다,해양부이,상왕등도,파고부이,위도,해양부이,상왕등도,파고부이,위도,열기,GR,11F20000
SF19,황해남부,상태도,125.285556,34.435778,247,404,85,147,99,173,156,248,2,123,187,29,58,서해남부남쪽안쪽먼바다,해양기상,홍도,해양기상,가거도,조위관측,흑산도,해양기상,홍도,열기,GR,11F20000
SF29,황해남부,상태도,125.285556,34.435778,247,404,85,147,99,173,156,248,2,123,187,29,58,서해남부남쪽안쪽먼바다,해양기상,홍도,해양기상,가거도,조위관측,흑산도,해양기상,홍도,농어,SB,11F20000
SF30,황해남부,상태도,125.285556,34.435778,247,404,85,147,99,173,156,248,2,123,187,29,58,서해남부남쪽안쪽먼바다,해양기상,홍도,해양기상,가거도,조위관측,흑산도,해양기상,홍도,볼락,GP,11F20000
SF31,황해남부,상태도,125.285556,34.435778,247,404,85,147,99,173,156,248,2,123,187,29,58,서해남부남쪽안쪽먼바다,해양기상,홍도,해양기상,가거도,조위관측,흑산도,해양기상,홍도,참돔,RP,11F20000
SF32,황해남부,상태도,125.285556,34.435778,247,404,85,147,99,173,156,248,2,123,187,29,58,서해남부남쪽안쪽먼바다,해양기상,홍도,해양기상,가거도,조위관측,흑산도,해양기상,홍도,돌돔,RB,11F20000
SF33,황해남부,상태도,125.285556,34.435778,247,404,85,147,99,173,156,248,2,123,187,29,58,서해남부남쪽안쪽먼바다,해양기상,홍도,해양기상,가거도,조위관측,흑산도,해양기상,홍도,우럭,RF,11F20000
SF34,황해남부,상태도,125.285556,34.435778,247,404,85,147,99,173,156,248,2,123,187,29,58,서해남부남쪽안쪽먼바다,해양기상,홍도,해양기상,가거도,조위관측,흑산도,해양기상,홍도,감성돔,BP,11F20000
SF7,제주도,서귀포,126.6080833,33.23797222,288,363,116,181,115,159,433,272,3,139,202,53,31,제주도남부앞바다,파고부이,중문,해양부이,중문해수욕장,조위관측,서귀포,해양부이,중문해수욕장,벵에돔,OP,11G00000
SF10,제주도,성산포,126.9319167,33.47744444,298,371,124,175,119,162,472,243,3,143,198,59,37,제주도동부앞바다,파고부이,우도,파고부이,신산,파고부이,우도,조위관측,성산포,돌돔,RB,11G00000
SF15,황해남부,신시도,126.4488,35.81,283,453,114,109,113,190,294,84,2,137,170,50,87,전북북부앞바다,파고부이,군산,파고부이,비안도,조위관측,군산,파고부이,군산,우럭,RF,11F10000
SF16,남해서부,신지도,126.843,34.3522,295,401,122,150,118,172,341,257,2,142,188,57,56,전남서부남해앞바다,파고부이,노화도,파고부이,청산도,조위관측,완도,파고부이,노화도,우럭,RF,11F20000
SF54,동해중부,아야진항,128.559064,38.270158,349,540,160,41,139,219,189,207,5,163,141,86,143,강원북부앞바다,파고부이,토성,해양부이,낙산해수욕장,파고부이,토성,조위관측,속초,우럭,RF,11D20000
SF55,동해중부,아야진항,128.559064,38.270158,349,540,160,41,139,219,189,207,5,163,141,86,143,강원북부앞바다,파고부이,토성,해양부이,낙산해수욕장,파고부이,토성,조위관측,속초,감성돔,BP,11D20000
SF20,황해중부,어청도,125.966861,36.126139,267,463,102,100,108,194,236,45,2,132,166,43,94,서해중부안쪽먼바다,파고부이,군산,파고부이,서천,조위관측,어청도,파고부이,서천,열기,GR,11F10000
SF24,황해중부,어청도,125.966861,36.126139,267,463,102,100,108,194,236,45,2,132,166,43,94,서해중부안쪽먼바다,파고부이,군산,파고부이,서천,조위관측,어청도,파고부이,서천,농어,SB,11F10000
SF25,황해중부,어청도,125.966861,36.126139,267,463,102,100,108,194,236,45,2,132,166,43,94,서해중부안쪽먼바다,파고부이,군산,파고부이,서천,조위관측,어청도,파고부이,서천,참돔,RP,11F10000
SF26,황해중부,어청도,125.966861,36.126139,267,463,102,100,108,194,236,45,2,132,166,43,94,서해중부안쪽먼바다,파고부이,군산,파고부이,서천,조위관측,어청도,파고부이,서천,돌돔,RB,11F10000
SF27,황해중부,어청도,125.966861,36.126139,267,463,102,100,108,194,236,45,2,132,166,43,94,서해중부안쪽먼바다,파고부이,군산,파고부이,서천,조위관측,어청도,파고부이,서천,우럭,RF,11F10000
SF28,황해중부,어청도,125.966861,36.126139,267,463,102,100,108,194,236,45,2,132,166,43,94,서해중부안쪽먼바다,파고부이,군산,파고부이,서천,조위관측,어청도,파고부이,서천,감성돔,BP,11F10000
SF4,남해서부,연도,127.7888208,34.41282722,324,403,144,147,129,173,95,310,4,153,187,74,57,전남동부남해앞바다,파고부이,금오도,파고부이,나로도,파고부이,금오도,조위관측,여수,감성돔,BP,11F20000
SF47,황해중부,영흥도,126.43074,37.26944,282,504,113,69,113,207,411,208,1,137,153,51,120,인천·경기남부앞바다,해양기상,덕적도,파고부이,이작도,해양기상,덕적도,파고부이,이작도,우럭,RF,11B00000
SF48,황해중부,영흥도,126.43074,37.26944,282,504,113,69,113,207,411,208,1,137,153,51,120,인천·경기남부앞바다,해양기상,덕적도,파고부이,이작도,해양기상,덕적도,파고부이,이작도,농어,SB,11B00000
SF52,동해중부,외옹치항,128.612377,38.177285,351,537,161,43,140,218,195,218,5,164,142,87,141,강원북부앞바다,해양부이,낙산해수욕장,파고부이,토성,조위관측,속초,파고부이,토성,우럭,RF,11D20000
SF53,동해중부,외옹치항,128.612377,38.177285,351,537,161,43,140,218,195,218,5,164,142,87,141,강원북부앞바다,해양부이,낙산해수욕장,파고부이,토성,조위관측,속초,파고부이,토성,감성돔,BP,11D20000
SF8,남해동부,욕지도,128.2561111,34.62111111,339,410,155,141,135,175,151,286,4,159,185,83,62,경남서부남해앞바다,파고부이,두미도,해양기상,통영,파고부이,두미도,조위관측,통영,벵에돔,OP,11H20000
SF5,동해남부,울산,129.4124643,35.47250013,375,440,182,118,149,186,289,183,4,173,174,103,81,울산앞바다,파고부이,간절곶,파고부이,장안,조위관측,울산,파고부이,간절곶,감성돔,BP,11H20000
SF6,동해남부,울진후정,129.4101763,37.07441405,375,498,180,74,149,205,289,351,5,173,155,101,116,경북북부앞바다,파고부이,죽변,파고부이,삼척,파고부이,죽변,파고부이,삼척,감성돔,BP,11H10000
SF3,남해서부,추자도,126.300375,33.96186194,278,388,109,160,112,168,393,185,3,136,192,47,47,남해서부서쪽먼바다,파고부이,추자도,해양기상,추자도,조위관측,추자도,파고부이,추자도,감성돔,BP,11F20000
SF22,동해남부,포항,129.431444,36.116222,376,463,181,101,149,193,292,106,4,173,167,102,95,경북남부앞바다,파고부이,월포,해양기상,포항,파고부이,월포,조위관측,포항,열기,GR,11H10000
SF40,동해남부,포항,129.431444,36.116222,376,463,181,101,149,193,292,106,4,173,167,102,95,경북남부앞바다,파고부이,월포,해양기상,포항,파고부이,월포,조위관측,포항,농어,SB,11H10000
SF41,동해남부,포항,129.431444,36.116222,376,463,181,101,149,193,292,106,4,173,167,102,95,경북남부앞바다,파고부이,월포,해양기상,포항,파고부이,월포,조위관측,포항,볼락,GP,11H10000
SF42,동해남부,포항,129.431444,36.116222,376,463,181,101,149,193,292,106,4,173,167,102,95,경북남부앞바다,파고부이,월포,해양기상,포항,파고부이,월포,조위관측,포항,감성돔,BP,11H10000
SF43,동해남부,포항,129.431444,36.116222,376,463,181,101,149,193,292,106,4,173,167,102,95,경북남부앞바다,파고부이,월포,해양기상,포항,파고부이,월포,조위관측,포항,벵에돔,OP,11H10000
SF18,황해남부,하조도,126.0937208,34.277575,271,400,104,152,109,171,252,267,2,133,189,44,54,전남남부서해앞바다,파고부이,조도,파고부이,불무도,조위관측,진도,파고부이,진도,열기,GR,11F20000
SF9,황해남부,하조도,126.0937208,34.277575,271,400,104,152,109,171,252,267,2,133,189,44,54,전남남부서해앞바다,파고부이,조도,파고부이,불무도,조위관측,진도,파고부이,진도,돌돔,RB,11F20000
SF23,동해남부,후포,129.456349,36.673764,377,483,181,85,150,200,297,39,4,174,160,102,108,경북북부앞바다,파고부이,후포,조위관측,왕돌초,조위관측,후포,파고부이,후포,열기,GR,11H10000
SF44,동해남부,후포,129.456349,36.673764,377,483,181,85,150,200,297,39,4,174,160,102,108,경북북부앞바다,파고부이,후포,조위관측,왕돌초,조위관측,후포,파고부이,후포,벵에돔,OP,11H10000
SF45,동해남부,후포,129.456349,36.673764,377,483,181,85,150,200,297,39,4,174,160,102,108,경북북부앞바다,파고부이,후포,조위관측,왕돌초,조위관측,후포,파고부이,후포,감성돔,BP,11H10000
SF46,동해남부,후포,129.456349,36.673764,377,483,181,85,150,200,297,39,4,174,160,102,108,경북북부앞바다,파고부이,후포,조위관측,왕돌초,조위관측,후포,파고부이,후포,우럭,RF,11H10000
