OBS, STN, SST, MWHT
파고부이,신진도,-999,-999
파고부이,삽시도,-999,-999
파고부이,이작도,-999,-999
파고부이,풍도,-999,-999
파고부이,자월도,-999,-999
파고부이,서천,-999,-999
파고부이,천수만,-999,-999
파고부이,안면도,-999,-999
파고부이,장봉도,-999,-999
파고부이,장안퇴,-999,-999
파고부이,연평도,-999,-999
파고부이,진도,-999,-999
파고부이,군산,-999,-999
파고부이,영광,-999,-999
파고부이,맹골수도,-999,-999
파고부이,대치마도,-999,-999
파고부이,비안도,-999,-999
파고부이,자은,-999,-999
파고부이,낙월,-999,-999
파고부이,변산,-999,-999
파고부이,조도,-999,-999
파고부이,불무도,-999,-999
파고부이,위도,-999,-999
파고부이,위도동부,-999,-999
파고부이,청산도,-999,-999
파고부이,금오도,-999,-999
파고부이,노화도,-999,-999
파고부이,고흥,-999,-999
파고부이,나로도,-999,-999
파고부이,초도,-999,-999
파고부이,제주항,-999,-999
파고부이,중문,-999,-999
파고부이,추자도,-999,-999
파고부이,우도,-999,-999
파고부이,가파도,-999,-999
파고부이,협재,-999,-999
파고부이,김녕,-999,-999
파고부이,신산,-999,-999
파고부이,영락,-999,-999
파고부이,구엄,-999,-999
파고부이,위미,-999,-999
파고부이,신창,-999,-999
파고부이,하도,-999,-999
파고부이,두미도,-999,-999
파고부이,장안,-999,-999
파고부이,해금강,-999,-999
파고부이,오륙도,-999,-999
파고부이,다대포,-999,-999
파고부이,한산도,-999,-999
파고부이,잠도,-999,-999
파고부이,소매물도,-999,-999
파고부이,남해,-999,-999
파고부이,연화도,-999,-999
파고부이,사량도,-999,-999
파고부이,기장,-999,-999
파고부이,지심도,-999,-999
파고부이,이수도,-999,-999
파고부이,후포,-999,-999
파고부이,간절곶,-999,-999
파고부이,월포,-999,-999
파고부이,당사,-999,-999
파고부이,죽변,-999,-999
파고부이,구룡포,-999,-999
파고부이,독도,-999,-999
파고부이,혈암,-999,-999
파고부이,구암,-999,-999
파고부이,연곡,-999,-999
파고부이,울릉읍,-999,-999
파고부이,토성,-999,-999
파고부이,맹방,-999,-999
파고부이,울릉서부,-999,-999
파고부이,고성,-999,-999
파고부이,강릉,-999,-999
해양기상,울릉도,-999,-999
해양기상,덕적도,-999,-999
해양기상,칠발도,-999,-999
해양기상,거문도,-999,-999
해양기상,거제도,-999,-999
해양기상,동해,-999,-999
해양기상,포항,-999,-999
해양기상,마라도,-999,-999
해양기상,외연도,-999,-999
해양기상,신안,-999,-999
해양기상,추자도,-999,-999
해양기상,인천,-999,-999
해양기상,부안,-999,-999
해양기상,서귀포,-999,-999
해양기상,통영,-999,-999
해양기상,울산,-999,-999
해양기상,울진,-999,-999
해양기상,서해170,-999,-999
해양기상,서해206,-999,-999
해양기상,가거도,-999,-999
해양기상,홍도,-999,-999
해양기상,서해190,-999,-999