NAME,Date_time,SST,WHT
상왕등도,2021-07-13 09,21.21520233154297,0.3199999928474426
상왕등도,2021-07-13 12,22.516414642333984,0.3199999928474426
상왕등도,2021-07-13 15,22.144018173217773,0.3100000023841858
상왕등도,2021-07-13 18,22.324615478515625,0.2800000011920929
상왕등도,2021-07-14 21,21.969913482666016,0.20999999344348907
상왕등도,2021-07-14 00,22.04485321044922,0.23000000417232513
상왕등도,2021-07-14 03,20.819053649902344,0.23999999463558197
상왕등도,2021-07-14 06,21.43496322631836,0.2800000011920929
상왕등도,2021-07-14 09,21.152692794799805,0.23999999463558197
상왕등도,2021-07-14 12,21.79671287536621,0.23000000417232513
상왕등도,2021-07-14 15,21.40951919555664,0.14000000059604645
상왕등도,2021-07-14 18,21.378902435302734,0.10999999940395355
상왕등도,2021-07-15 21,21.59903335571289,0.10000000149011612
상왕등도,2021-07-15 00,21.99571990966797,0.07999999821186066
상왕등도,2021-07-15 03,21.156335830688477,0.07000000029802322
상왕등도,2021-07-15 06,21.498497009277344,0.05000000074505806
상왕등도,2021-07-15 09,21.616336822509766,0.05000000074505806
상왕등도,2021-07-15 12,22.589900970458984,0.05000000074505806
상왕등도,2021-07-15 15,22.968116760253906,0.05000000074505806
상왕등도,2021-07-15 18,22.567480087280273,0.03999999910593033
추자도,2021-07-13 09,24.371028900146484,1.1399999856948853
추자도,2021-07-13 12,25.64390754699707,1.1299999952316284
추자도,2021-07-13 15,25.878089904785156,1.1399999856948853
추자도,2021-07-13 18,25.30739974975586,1.2100000381469727
추자도,2021-07-14 21,24.84061622619629,1.2400000095367432
추자도,2021-07-14 00,24.513795852661133,1.2200000286102295
추자도,2021-07-14 03,24.678186416625977,1.190000057220459
추자도,2021-07-14 06,25.04827117919922,1.1100000143051147
추자도,2021-07-14 09,24.723190307617188,1.0399999618530273
추자도,2021-07-14 12,25.67316436767578,0.9800000190734863
추자도,2021-07-14 15,26.277080535888672,0.9300000071525574
추자도,2021-07-14 18,25.770780563354492,0.8999999761581421
추자도,2021-07-15 21,25.40115737915039,0.8700000047683716
추자도,2021-07-15 00,25.18662452697754,0.8299999833106995
추자도,2021-07-15 03,24.911970138549805,0.7799999713897705
추자도,2021-07-15 06,25.70702362060547,0.7300000190734863
추자도,2021-07-15 09,25.53420066833496,0.6800000071525574
추자도,2021-07-15 12,25.97127914428711,0.6399999856948853
추자도,2021-07-15 15,26.44877815246582,0.6000000238418579
추자도,2021-07-15 18,26.557754516601562,0.550000011920929
울진후정,2021-07-13 09,23.03603172302246,0.10999999940395355
울진후정,2021-07-13 12,23.627277374267578,0.10000000149011612
울진후정,2021-07-13 15,23.98129653930664,0.09000000357627869
울진후정,2021-07-13 18,23.8049373626709,0.07999999821186066
울진후정,2021-07-14 21,23.70794677734375,0.07000000029802322
울진후정,2021-07-14 00,23.634056091308594,0.07000000029802322
울진후정,2021-07-14 03,23.421308517456055,0.05999999865889549
울진후정,2021-07-14 06,23.135292053222656,0.05000000074505806
울진후정,2021-07-14 09,23.225505828857422,0.05000000074505806
울진후정,2021-07-14 12,23.46651840209961,0.05000000074505806
울진후정,2021-07-14 15,23.913776397705078,0.03999999910593033
울진후정,2021-07-14 18,23.754241943359375,0.03999999910593033
울진후정,2021-07-15 21,23.595478057861328,0.05000000074505806
울진후정,2021-07-15 00,23.009401321411133,0.05000000074505806
울진후정,2021-07-15 03,22.78306770324707,0.07999999821186066
울진후정,2021-07-15 06,22.67388916015625,0.09000000357627869
울진후정,2021-07-15 09,22.352487564086914,0.10000000149011612
울진후정,2021-07-15 12,22.370080947875977,0.11999999731779099
울진후정,2021-07-15 15,23.38765525817871,0.12999999523162842
울진후정,2021-07-15 18,23.371980667114258,0.11999999731779099
동명항,2021-07-13 09,23.947351455688477,0.1599999964237213
동명항,2021-07-13 12,25.120662689208984,0.14000000059604645
동명항,2021-07-13 15,25.52314567565918,0.12999999523162842
동명항,2021-07-13 18,26.463171005249023,0.10999999940395355
동명항,2021-07-14 21,26.10773277282715,0.10000000149011612
동명항,2021-07-14 00,25.67955207824707,0.09000000357627869
동명항,2021-07-14 03,25.439910888671875,0.09000000357627869
동명항,2021-07-14 06,24.878097534179688,0.1599999964237213
동명항,2021-07-14 09,24.85693359375,0.18000000715255737
동명항,2021-07-14 12,25.212535858154297,0.1599999964237213
동명항,2021-07-14 15,25.654924392700195,0.1599999964237213
동명항,2021-07-14 18,25.66936492919922,0.15000000596046448
동명항,2021-07-15 21,25.360675811767578,0.14000000059604645
동명항,2021-07-15 00,24.8807430267334,0.15000000596046448
동명항,2021-07-15 03,24.09379005432129,0.1599999964237213
동명항,2021-07-15 06,23.220996856689453,0.17000000178813934
동명항,2021-07-15 09,23.780235290527344,0.17000000178813934
동명항,2021-07-15 12,24.996252059936523,0.18000000715255737
동명항,2021-07-15 15,25.584022521972656,0.20000000298023224
동명항,2021-07-15 18,25.640064239501953,0.1899999976158142
월포해수욕장,2021-07-13 09,22.240182876586914,0.11999999731779099
월포해수욕장,2021-07-13 12,23.581029891967773,0.27000001072883606
월포해수욕장,2021-07-13 15,24.143783569335938,0.2800000011920929
월포해수욕장,2021-07-13 18,24.084959030151367,0.15000000596046448
월포해수욕장,2021-07-14 21,23.395437240600586,0.10000000149011612
월포해수욕장,2021-07-14 00,22.87868881225586,0.07999999821186066
월포해수욕장,2021-07-14 03,22.273160934448242,0.05999999865889549
월포해수욕장,2021-07-14 06,21.987255096435547,0.05000000074505806
월포해수욕장,2021-07-14 09,22.351598739624023,0.05000000074505806
월포해수욕장,2021-07-14 12,23.666593551635742,0.05000000074505806
월포해수욕장,2021-07-14 15,24.35401153564453,0.15000000596046448
월포해수욕장,2021-07-14 18,24.186649322509766,0.09000000357627869
월포해수욕장,2021-07-15 21,23.624237060546875,0.03999999910593033
월포해수욕장,2021-07-15 00,23.03272247314453,0.029999999329447746
월포해수욕장,2021-07-15 03,22.43229866027832,0.019999999552965164
월포해수욕장,2021-07-15 06,22.170433044433594,0.019999999552965164
월포해수욕장,2021-07-15 09,22.749731063842773,0.019999999552965164
월포해수욕장,2021-07-15 12,24.14287567138672,0.019999999552965164
월포해수욕장,2021-07-15 15,24.956642150878906,0.029999999329447746
월포해수욕장,2021-07-15 18,24.980300903320312,0.05000000074505806
구조라해수욕장,2021-07-13 09,20.91140365600586,0.25999999046325684
구조라해수욕장,2021-07-13 12,22.38483428955078,0.2800000011920929
구조라해수욕장,2021-07-13 15,22.45207977294922,0.25
구조라해수욕장,2021-07-13 18,21.860403060913086,0.25999999046325684
구조라해수욕장,2021-07-14 21,21.30524253845215,0.23000000417232513
구조라해수욕장,2021-07-14 00,21.016544342041016,0.20000000298023224
구조라해수욕장,2021-07-14 03,21.1850643157959,0.20000000298023224
구조라해수욕장,2021-07-14 06,20.858325958251953,0.20000000298023224
구조라해수욕장,2021-07-14 09,20.482528686523438,0.20000000298023224
구조라해수욕장,2021-07-14 12,21.47039222717285,0.1899999976158142
구조라해수욕장,2021-07-14 15,22.212692260742188,0.18000000715255737
구조라해수욕장,2021-07-14 18,21.36241912841797,0.1599999964237213
구조라해수욕장,2021-07-15 21,21.466238021850586,0.15000000596046448
구조라해수욕장,2021-07-15 00,21.44142723083496,0.15000000596046448
구조라해수욕장,2021-07-15 03,21.208858489990234,0.14000000059604645
구조라해수욕장,2021-07-15 06,20.919925689697266,0.12999999523162842
구조라해수욕장,2021-07-15 09,21.183460235595703,0.12999999523162842
구조라해수욕장,2021-07-15 12,21.906105041503906,0.11999999731779099
구조라해수욕장,2021-07-15 15,23.31983184814453,0.10999999940395355
구조라해수욕장,2021-07-15 18,23.427837371826172,0.10999999940395355
문섬,2021-07-13 09,25.44574737548828,1.1299999952316284
문섬,2021-07-13 12,25.64588165283203,1.1299999952316284
문섬,2021-07-13 15,25.523635864257812,1.159999966621399
문섬,2021-07-13 18,25.25717544555664,1.1799999475479126
문섬,2021-07-14 21,25.0936336517334,1.1699999570846558
문섬,2021-07-14 00,25.117996215820312,1.1399999856948853
문섬,2021-07-14 03,25.156686782836914,1.100000023841858
문섬,2021-07-14 06,25.31300163269043,1.0499999523162842
문섬,2021-07-14 09,25.784351348876953,0.9800000190734863
문섬,2021-07-14 12,25.940919876098633,0.9100000262260437
문섬,2021-07-14 15,25.94447898864746,0.8500000238418579
문섬,2021-07-14 18,25.47464370727539,0.8199999928474426
문섬,2021-07-15 21,25.170398712158203,0.7699999809265137
문섬,2021-07-15 00,25.186933517456055,0.7300000190734863
문섬,2021-07-15 03,25.146350860595703,0.699999988079071
문섬,2021-07-15 06,24.95343780517578,0.6600000262260437
문섬,2021-07-15 09,25.12510871887207,0.6299999952316284
문섬,2021-07-15 12,25.447601318359375,0.6000000238418579
문섬,2021-07-15 15,25.70587158203125,0.5600000023841858
문섬,2021-07-15 18,25.956884384155273,0.5199999809265137
