생성시간, 예측시간, 지점코드, 선박명, 운항지점, 지수, 지수단계, 수정사유
2021-07-14,2021-07-14 00:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-14 06:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-14 12:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-14 18:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-15 00:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-15 06:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-15 12:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-15 18:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-16 00:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-16 06:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-16 12:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-16 18:00,YP_0001_01,플라잉카페리,인천-연평(1구간),4,LV1,00
2021-07-14,2021-07-14 00:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-14 06:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-14 12:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-14 18:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-15 00:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-15 06:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-15 12:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-15 18:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-16 00:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-16 06:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-16 12:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-16 18:00,YP_0002_01,플라잉카페리,인천-연평(2구간),3,LV2,00
2021-07-14,2021-07-14 00:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 06:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 12:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 18:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 00:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 06:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 12:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 18:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 00:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 06:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 12:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 18:00,BR_0001_01,코리아킹,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 00:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-14 06:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-14 12:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-14 18:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-15 00:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-15 06:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-15 12:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-15 18:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-16 00:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-16 06:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-16 12:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-16 18:00,BR_0002_01,코리아킹,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-14 00:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-14 06:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-14 12:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-14 18:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-15 00:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-15 06:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-15 12:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-15 18:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-16 00:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-16 06:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-16 12:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-16 18:00,BR_0003_01,코리아킹,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-14 00:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 06:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 12:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 18:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 00:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 06:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 12:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-15 18:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 00:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 06:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 12:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-16 18:00,BR_0001_02,하모니플라워,인천-백령(1구간),4,LV1,00
2021-07-14,2021-07-14 00:00,BR_0002_02,하모니플라워,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-14 06:00,BR_0002_02,하모니플라워,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-14 12:00,BR_0002_02,하모니플라워,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-14 18:00,BR_0002_02,하모니플라워,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-15 00:00,BR_0002_02,하모니플라워,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-15 06:00,BR_0002_02,하모니플라워,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-15 12:00,BR_0002_02,하모니플라워,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-15 18:00,BR_0002_02,하모니플라워,인천-백령(2구간),3,LV2,00
2021-07-14,2021-07-16 00:00,BR_0002_02,하모니플라워,인천-백령(2구간),4,LV1,00
2021-07-14,2021-07-16 06:00,BR_0002_02,하모니플라워,인천-백령(2구간),4,LV1,00
2021-07-14,2021-07-16 12:00,BR_0002_02,하모니플라워,인천-백령(2구간),4,LV1,00
2021-07-14,2021-07-16 18:00,BR_0002_02,하모니플라워,인천-백령(2구간),4,LV1,00
2021-07-14,2021-07-14 00:00,BR_0003_02,하모니플라워,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-14 06:00,BR_0003_02,하모니플라워,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-14 12:00,BR_0003_02,하모니플라워,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-14 18:00,BR_0003_02,하모니플라워,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-15 00:00,BR_0003_02,하모니플라워,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-15 06:00,BR_0003_02,하모니플라워,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-15 12:00,BR_0003_02,하모니플라워,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-15 18:00,BR_0003_02,하모니플라워,인천-백령(3구간),3,LV2,00
2021-07-14,2021-07-16 00:00,BR_0003_02,하모니플라워,인천-백령(3구간),4,LV1,00
2021-07-14,2021-07-16 06:00,BR_0003_02,하모니플라워,인천-백령(3구간),4,LV1,00
2021-07-14,2021-07-16 12:00,BR_0003_02,하모니플라워,인천-백령(3구간),4,LV1,00
2021-07-14,2021-07-16 18:00,BR_0003_02,하모니플라워,인천-백령(3구간),4,LV1,00
2021-07-14,2021-07-14 00:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-14 06:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-14 12:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-14 18:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-15 00:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-15 06:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-15 12:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-15 18:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-16 00:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-16 06:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-16 12:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-16 18:00,GS_0001_01,뉴어청훼리,군산-어청(1구간),3,LV2,00
2021-07-14,2021-07-14 00:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),2,LV3,00
2021-07-14,2021-07-14 06:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),2,LV3,00
2021-07-14,2021-07-14 12:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),2,LV3,00
2021-07-14,2021-07-14 18:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),2,LV3,00
2021-07-14,2021-07-15 00:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),2,LV3,00
2021-07-14,2021-07-15 06:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),3,LV2,00
2021-07-14,2021-07-15 12:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),3,LV2,00
2021-07-14,2021-07-15 18:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),3,LV2,00
2021-07-14,2021-07-16 00:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),3,LV2,00
2021-07-14,2021-07-16 06:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),3,LV2,00
2021-07-14,2021-07-16 12:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),3,LV2,00
2021-07-14,2021-07-16 18:00,GS_0002_01,뉴어청훼리,군산-어청(2구간),3,LV2,00
2021-07-14,2021-07-14 00:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 06:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 12:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 18:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 00:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 06:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 12:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 18:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 00:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 06:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 12:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 18:00,MP_0001_02,퀸제누비아,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 00:00,MP_0002_02,퀸제누비아,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 06:00,MP_0002_02,퀸제누비아,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 12:00,MP_0002_02,퀸제누비아,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 18:00,MP_0002_02,퀸제누비아,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 00:00,MP_0002_02,퀸제누비아,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-15 06:00,MP_0002_02,퀸제누비아,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 12:00,MP_0002_02,퀸제누비아,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-15 18:00,MP_0002_02,퀸제누비아,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-16 00:00,MP_0002_02,퀸제누비아,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 06:00,MP_0002_02,퀸제누비아,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 12:00,MP_0002_02,퀸제누비아,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 18:00,MP_0002_02,퀸제누비아,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-14 00:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 06:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 12:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 18:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 00:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 06:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 12:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 18:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 00:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 06:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 12:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 18:00,MP_0001_01,퀸메리,목포-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 00:00,MP_0002_01,퀸메리,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 06:00,MP_0002_01,퀸메리,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 12:00,MP_0002_01,퀸메리,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 18:00,MP_0002_01,퀸메리,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 00:00,MP_0002_01,퀸메리,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-15 06:00,MP_0002_01,퀸메리,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 12:00,MP_0002_01,퀸메리,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-15 18:00,MP_0002_01,퀸메리,목포-제주(2구간),3,LV2,00
2021-07-14,2021-07-16 00:00,MP_0002_01,퀸메리,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 06:00,MP_0002_01,퀸메리,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 12:00,MP_0002_01,퀸메리,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 18:00,MP_0002_01,퀸메리,목포-제주(2구간),4,LV1,00
2021-07-14,2021-07-14 00:00,WD_0001_04,송림블루오션,완도-제주(1구간),3,LV2,00
2021-07-14,2021-07-14 06:00,WD_0001_04,송림블루오션,완도-제주(1구간),3,LV2,00
2021-07-14,2021-07-14 12:00,WD_0001_04,송림블루오션,완도-제주(1구간),3,LV2,00
2021-07-14,2021-07-14 18:00,WD_0001_04,송림블루오션,완도-제주(1구간),3,LV2,00
2021-07-14,2021-07-15 00:00,WD_0001_04,송림블루오션,완도-제주(1구간),3,LV2,00
2021-07-14,2021-07-15 06:00,WD_0001_04,송림블루오션,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 12:00,WD_0001_04,송림블루오션,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 18:00,WD_0001_04,송림블루오션,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 00:00,WD_0001_04,송림블루오션,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 06:00,WD_0001_04,송림블루오션,완도-제주(1구간),3,LV2,00
2021-07-14,2021-07-16 12:00,WD_0001_04,송림블루오션,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 18:00,WD_0001_04,송림블루오션,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 00:00,WD_0002_04,송림블루오션,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 06:00,WD_0002_04,송림블루오션,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 12:00,WD_0002_04,송림블루오션,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 18:00,WD_0002_04,송림블루오션,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 00:00,WD_0002_04,송림블루오션,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 06:00,WD_0002_04,송림블루오션,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 12:00,WD_0002_04,송림블루오션,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-15 18:00,WD_0002_04,송림블루오션,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-16 00:00,WD_0002_04,송림블루오션,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 06:00,WD_0002_04,송림블루오션,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-16 12:00,WD_0002_04,송림블루오션,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 18:00,WD_0002_04,송림블루오션,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-14 00:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 06:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 12:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 18:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 00:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 06:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 12:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 18:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 00:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 06:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 12:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-16 18:00,WD_0001_02,한일블루나래,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 00:00,WD_0002_02,한일블루나래,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 06:00,WD_0002_02,한일블루나래,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-14 12:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-14 18:00,WD_0002_02,한일블루나래,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 00:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-15 06:00,WD_0002_02,한일블루나래,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-15 12:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-15 18:00,WD_0002_02,한일블루나래,완도-제주(2구간),3,LV2,00
2021-07-14,2021-07-16 00:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 06:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 12:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-16 18:00,WD_0002_02,한일블루나래,완도-제주(2구간),4,LV1,00
2021-07-14,2021-07-14 00:00,WD_0001_03,실버클라우드,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 06:00,WD_0001_03,실버클라우드,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 12:00,WD_0001_03,실버클라우드,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-14 18:00,WD_0001_03,실버클라우드,완도-제주(1구간),4,LV1,00
2021-07-14,2021-07-15 00:00,WD_0001_03,실버클라우드,완도-제주(1구간),4,LV1,00
