NAME,Date_time,WHT,SST
상왕등도,2021-08-27 09,0.1,25.68
상왕등도,2021-08-27 12,0.63,26.26
상왕등도,2021-08-27 15,1.13,25.68
상왕등도,2021-08-27 18,0.57,25.43
상왕등도,2021-08-28 21,0.33,25.45
상왕등도,2021-08-28 00,0.54,25.85
상왕등도,2021-08-28 03,0.4,25.76
상왕등도,2021-08-28 06,0.45,25.49
상왕등도,2021-08-28 09,0.2,25.47
상왕등도,2021-08-28 12,0.15,25.78
상왕등도,2021-08-28 15,0.12,25.57
상왕등도,2021-08-28 18,0.22,25.51
상왕등도,2021-08-29 21,0.01,25.47
상왕등도,2021-08-29 00,0.1,25.63
상왕등도,2021-08-29 03,0.22,25.54
상왕등도,2021-08-29 06,0.1,25.32
상왕등도,2021-08-29 09,0.34,25.87
상왕등도,2021-08-29 12,0.32,26.34
상왕등도,2021-08-29 15,0.25,26.35
상왕등도,2021-08-29 18,0.02,25.69
추자도,2021-08-27 09,1.25,23.37
추자도,2021-08-27 12,1.18,23.84
추자도,2021-08-27 15,1.43,23.98
추자도,2021-08-27 18,1.41,23.36
추자도,2021-08-28 21,1.6,22.75
추자도,2021-08-28 00,1.15,22.31
추자도,2021-08-28 03,0.97,22.73
추자도,2021-08-28 06,0.84,23.47
추자도,2021-08-28 09,0.62,22.9
추자도,2021-08-28 12,0.77,23.29
추자도,2021-08-28 15,0.48,23.51
추자도,2021-08-28 18,0.43,23.17
추자도,2021-08-29 21,0.45,23.0
추자도,2021-08-29 00,0.27,22.72
추자도,2021-08-29 03,0.42,23.02
추자도,2021-08-29 06,0.39,23.13
추자도,2021-08-29 09,0.33,22.45
추자도,2021-08-29 12,0.43,22.7
추자도,2021-08-29 15,0.18,23.84
추자도,2021-08-29 18,0.5,23.78
울진후정,2021-08-27 09,0.35,24.53
울진후정,2021-08-27 12,0.63,24.81
울진후정,2021-08-27 15,0.45,24.84
울진후정,2021-08-27 18,0.39,24.84
울진후정,2021-08-28 21,0.23,24.5
울진후정,2021-08-28 00,0.5,24.64
울진후정,2021-08-28 03,0.41,24.32
울진후정,2021-08-28 06,0.33,24.17
울진후정,2021-08-28 09,0.32,23.95
울진후정,2021-08-28 12,0.28,24.07
울진후정,2021-08-28 15,0.11,24.19
울진후정,2021-08-28 18,0.15,23.88
울진후정,2021-08-29 21,0.26,23.94
울진후정,2021-08-29 00,0.36,23.77
울진후정,2021-08-29 03,0.36,23.99
울진후정,2021-08-29 06,0.15,23.63
울진후정,2021-08-29 09,0.01,23.48
울진후정,2021-08-29 12,0.1,24.04
울진후정,2021-08-29 15,0.1,24.28
울진후정,2021-08-29 18,0.13,24.41
동명항,2021-08-27 09,0.61,23.88
동명항,2021-08-27 12,0.49,23.86
동명항,2021-08-27 15,0.42,23.6
동명항,2021-08-27 18,0.24,23.66
동명항,2021-08-28 21,0.63,23.31
동명항,2021-08-28 00,0.37,23.07
동명항,2021-08-28 03,0.27,22.67
동명항,2021-08-28 06,0.18,22.19
동명항,2021-08-28 09,0.2,22.25
동명항,2021-08-28 12,0.36,22.68
동명항,2021-08-28 15,0.12,23.13
동명항,2021-08-28 18,0.06,23.59
동명항,2021-08-29 21,0.2,23.98
동명항,2021-08-29 00,0.1,23.79
동명항,2021-08-29 03,0.14,23.57
동명항,2021-08-29 06,0.26,23.26
동명항,2021-08-29 09,0.2,23.5
동명항,2021-08-29 12,0.27,23.81
동명항,2021-08-29 15,0.02,24.39
동명항,2021-08-29 18,0.15,24.2
월포해수욕장,2021-08-27 09,0.34,25.0
월포해수욕장,2021-08-27 12,0.38,25.42
월포해수욕장,2021-08-27 15,0.23,26.07
월포해수욕장,2021-08-27 18,0.54,26.13
월포해수욕장,2021-08-28 21,0.52,25.84
월포해수욕장,2021-08-28 00,0.42,25.73
월포해수욕장,2021-08-28 03,0.21,25.22
월포해수욕장,2021-08-28 06,0.27,25.36
월포해수욕장,2021-08-28 09,0.15,24.72
월포해수욕장,2021-08-28 12,0.26,24.99
월포해수욕장,2021-08-28 15,0.08,25.27
월포해수욕장,2021-08-28 18,0.44,25.39
월포해수욕장,2021-08-29 21,0.13,26.07
월포해수욕장,2021-08-29 00,0.12,25.04
월포해수욕장,2021-08-29 03,0.21,25.03
월포해수욕장,2021-08-29 06,0.1,24.96
월포해수욕장,2021-08-29 09,0.23,25.62
월포해수욕장,2021-08-29 12,0.07,26.27
월포해수욕장,2021-08-29 15,0.02,26.9
월포해수욕장,2021-08-29 18,0.16,26.92
구조라해수욕장,2021-08-27 09,0.38,23.83
구조라해수욕장,2021-08-27 12,0.47,24.25
구조라해수욕장,2021-08-27 15,0.3,24.09
구조라해수욕장,2021-08-27 18,0.32,24.33
구조라해수욕장,2021-08-28 21,0.54,23.92
구조라해수욕장,2021-08-28 00,0.67,22.78
구조라해수욕장,2021-08-28 03,0.58,22.77
구조라해수욕장,2021-08-28 06,0.46,22.48
구조라해수욕장,2021-08-28 09,0.37,22.48
구조라해수욕장,2021-08-28 12,0.38,23.08
구조라해수욕장,2021-08-28 15,0.23,23.55
구조라해수욕장,2021-08-28 18,0.35,23.1
구조라해수욕장,2021-08-29 21,0.06,22.77
구조라해수욕장,2021-08-29 00,0.18,22.56
구조라해수욕장,2021-08-29 03,0.07,22.39
구조라해수욕장,2021-08-29 06,0.16,22.2
구조라해수욕장,2021-08-29 09,0.23,22.11
구조라해수욕장,2021-08-29 12,0.17,22.81
구조라해수욕장,2021-08-29 15,0.1,23.22
구조라해수욕장,2021-08-29 18,0.19,22.64
문섬,2021-08-27 09,0.76,23.47
문섬,2021-08-27 12,0.63,24.21
문섬,2021-08-27 15,1.02,23.93
문섬,2021-08-27 18,1.18,24.13
문섬,2021-08-28 21,1.13,23.74
문섬,2021-08-28 00,1.13,24.01
문섬,2021-08-28 03,1.15,24.08
문섬,2021-08-28 06,1.14,24.03
문섬,2021-08-28 09,0.67,23.99
문섬,2021-08-28 12,0.47,24.31
문섬,2021-08-28 15,0.64,24.4
문섬,2021-08-28 18,0.64,24.29
문섬,2021-08-29 21,0.32,24.24
문섬,2021-08-29 00,0.29,24.27
문섬,2021-08-29 03,0.31,24.17
문섬,2021-08-29 06,0.18,23.98
문섬,2021-08-29 09,0.47,24.18
문섬,2021-08-29 12,0.45,24.37
문섬,2021-08-29 15,0.56,24.2
문섬,2021-08-29 18,0.22,24.88
