생산일,코드,권역,해수욕장,예측년월일,시간,평균기온,기온점수,평균수온,수온점수,최대풍속,풍속점수,최대파고,파고점수,총점수,예보지수
20210831,HS1,황해중부,대천해수욕장,20210831,AM,24.4,4,26.1,5,2.8,4,0.1,5,4.65,좋음
20210831,HS1,황해중부,대천해수욕장,20210831,PM,24.2,4,26.4,5,7.7,3,0.1,5,4.35,좋음
20210831,HS2,황해중부,춘장대해수욕장,20210831,AM,24.2,4,26.2,5,2.6,4,0.1,5,4.65,좋음
20210831,HS2,황해중부,춘장대해수욕장,20210831,PM,24.7,4,26.7,5,5.6,3,0.1,5,4.35,좋음
20210831,HS3,황해중부,무창포해수욕장,20210831,AM,24.1,4,26.2,5,2.6,4,0.1,5,4.65,좋음
20210831,HS3,황해중부,무창포해수욕장,20210831,PM,24.6,4,26.6,5,5.6,3,0.1,5,4.35,좋음
20210831,HS4,황해중부,꽃지해수욕장,20210831,AM,24.1,4,25.4,5,5.4,3,0.2,5,4.35,좋음
20210831,HS4,황해중부,꽃지해수욕장,20210831,PM,22.2,3,25.3,5,7.6,3,0.2,5,4.30,좋음
20210831,HS5,황해중부,만리포해수욕장,20210831,AM,23.5,3,23.2,5,4.7,4,0.3,5,4.60,좋음
20210831,HS5,황해중부,만리포해수욕장,20210831,PM,20.3,2,23.3,5,7.7,3,0.3,5,4.25,좋음
20210831,HS6,황해중부,몽산포해수욕장,20210831,AM,23.0,3,25.5,5,5.9,3,0.2,5,4.30,좋음
20210831,HS6,황해중부,몽산포해수욕장,20210831,PM,21.4,2,25.5,5,8.9,2,0.2,5,3.95,보통
20210831,HS7,황해남부,우전해수욕장,20210831,AM,25.1,4,26.9,5,2.7,4,0.1,5,4.65,좋음
20210831,HS7,황해남부,우전해수욕장,20210831,PM,25.9,4,27.2,5,5.8,3,0.1,5,4.35,좋음
20210831,HS8,황해중부,연포해수욕장,20210831,AM,23.0,3,25.3,5,5.5,3,0.2,5,4.30,좋음
20210831,HS8,황해중부,연포해수욕장,20210831,PM,21.1,2,25.2,5,9.5,2,0.3,5,3.95,보통
20210831,HS9,황해중부,어은돌해수욕장,20210831,AM,23.3,3,23.2,5,5.6,3,0.2,5,4.30,좋음
20210831,HS9,황해중부,어은돌해수욕장,20210831,PM,21.0,2,23.1,5,9.3,2,0.2,5,3.95,보통
20210831,HS10,황해중부,신두리해수욕장,20210831,AM,22.9,3,23.5,5,4.7,4,0.2,5,4.60,좋음
20210831,HS10,황해중부,신두리해수욕장,20210831,PM,20.2,2,23.4,5,7.8,3,0.2,5,4.25,좋음
20210831,HS11,황해중부,학암포해수욕장,20210831,AM,22.3,3,23.8,5,5.9,3,0.5,4,3.75,보통
20210831,HS11,황해중부,학암포해수욕장,20210831,PM,21.1,2,24.3,5,11.0,1,0.7,4,3.10,보통
20210831,HS12,황해남부,가마미해수욕장,20210831,AM,24.2,4,27.2,5,3.3,4,0.1,5,4.65,좋음
20210831,HS12,황해남부,가마미해수욕장,20210831,PM,25.0,4,27.4,5,3.9,4,0.1,5,4.65,좋음
20210831,HS15,황해남부,가계해수욕장,20210831,AM,26.1,4,26.6,5,4.9,4,0.1,5,4.65,좋음
20210831,HS15,황해남부,가계해수욕장,20210831,PM,25.9,4,26.3,5,5.8,3,0.1,5,4.35,좋음
20210831,HS16,황해중부,을왕리해수욕장,20210831,AM,21.9,2,25.4,5,4.9,4,0.2,5,4.55,좋음
20210831,HS16,황해중부,을왕리해수욕장,20210831,PM,21.3,2,25.4,5,8.6,2,0.2,5,3.95,보통
20210831,HS17,남해서부,만성리해수욕장,20210831,AM,24.5,4,26.3,5,4.6,4,0.1,5,4.65,좋음
20210831,HS17,남해서부,만성리해수욕장,20210831,PM,24.7,4,26.8,5,6.2,3,0.1,5,4.35,좋음
20210831,HS18,남해동부,상주해수욕장,20210831,AM,26.4,4,26.7,5,3.3,4,0.1,5,4.65,좋음
20210831,HS18,남해동부,상주해수욕장,20210831,PM,25.8,4,27.4,5,3.6,4,0.1,5,4.65,좋음
20210831,HS19,남해서부,명사십리해수욕장,20210831,AM,26.0,4,26.4,5,4.4,4,0.1,5,4.65,좋음
20210831,HS19,남해서부,명사십리해수욕장,20210831,PM,26.1,4,26.7,5,5.6,3,0.1,5,4.35,좋음
20210831,HS20,제주도,함덕서우봉해수욕장,20210831,AM,26.1,4,27.8,5,4.7,4,0.1,5,4.65,좋음
20210831,HS20,제주도,함덕서우봉해수욕장,20210831,PM,26.7,4,28.4,5,5.1,3,0.1,5,4.35,좋음
20210831,HS21,제주도,협재해수욕장,20210831,AM,27.1,5,27.8,5,7.5,3,0.1,5,4.40,좋음
20210831,HS21,제주도,협재해수욕장,20210831,PM,27.3,5,28.2,5,7.4,3,0.1,5,4.40,좋음
20210831,HS22,제주도,중문색달해수욕장,20210831,AM,26.3,4,27.3,5,3.9,4,0.2,5,4.65,좋음
20210831,HS22,제주도,중문색달해수욕장,20210831,PM,26.4,4,28.0,5,4.2,4,0.2,5,4.65,좋음
20210831,HS23,남해서부,율포해수욕장,20210831,AM,25.6,4,28.4,5,3.9,4,0.1,5,4.65,좋음
20210831,HS23,남해서부,율포해수욕장,20210831,PM,25.8,4,28.7,5,6.6,3,0.1,5,4.35,좋음
20210831,HS24,황해남부,송호해수욕장,20210831,AM,25.9,4,24.7,5,4.0,4,0.1,5,4.65,좋음
20210831,HS24,황해남부,송호해수욕장,20210831,PM,25.9,4,25.0,5,5.9,3,0.1,5,4.35,좋음
20210831,HS25,제주도,이호테우해수욕장,20210831,AM,28.1,5,28.2,5,3.9,4,0.1,5,4.70,매우좋음
20210831,HS25,제주도,이호테우해수욕장,20210831,PM,26.8,4,28.9,5,3.4,4,0.1,5,4.65,좋음
20210831,HS26,제주도,표선해비치해수욕장,20210831,AM,28.9,5,27.4,5,5.1,3,0.2,5,4.40,좋음
20210831,HS26,제주도,표선해비치해수욕장,20210831,PM,27.0,5,28.1,5,5.1,3,0.2,5,4.40,좋음
20210831,HS28,남해동부,구조라해수욕장,20210831,AM,25.5,4,25.2,5,3.9,4,0.1,5,4.65,좋음
20210831,HS28,남해동부,구조라해수욕장,20210831,PM,25.2,4,25.7,5,4.4,4,0.1,5,4.65,좋음
20210831,HS29,남해동부,해운대해수욕장,20210831,AM,25.2,4,23.7,5,5.3,3,0.1,5,4.35,좋음
20210831,HS29,남해동부,해운대해수욕장,20210831,PM,25.3,4,24.8,5,6.6,3,0.1,5,4.35,좋음
20210831,HS30,남해동부,광안리해수욕장,20210831,AM,25.4,4,23.7,5,4.7,4,0.1,5,4.65,좋음
20210831,HS30,남해동부,광안리해수욕장,20210831,PM,25.3,4,24.8,5,6.5,3,0.1,5,4.35,좋음
20210831,HS31,남해동부,송도해수욕장,20210831,AM,25.3,4,25.4,5,5.9,3,0.1,5,4.35,좋음
20210831,HS31,남해동부,송도해수욕장,20210831,PM,25.2,4,26.1,5,7.4,3,0.1,5,4.35,좋음
20210831,HS32,남해동부,송정해수욕장,20210831,AM,24.8,4,24.4,5,5.4,3,0.1,5,4.35,좋음
20210831,HS32,남해동부,송정해수욕장,20210831,PM,25.0,4,25.1,5,5.9,3,0.1,5,4.35,좋음
20210831,HS33,남해동부,다대포해수욕장,20210831,AM,25.3,4,24.9,5,6.4,3,0.1,5,4.35,좋음
20210831,HS33,남해동부,다대포해수욕장,20210831,PM,25.3,4,25.3,5,8.0,2,0.1,5,4.05,좋음
20210831,HS34,남해동부,일광해수욕장,20210831,AM,24.9,4,21.8,4,4.4,4,0.1,5,4.55,좋음
20210831,HS34,남해동부,일광해수욕장,20210831,PM,25.0,4,23.3,5,5.4,3,0.1,5,4.35,좋음
20210831,HS35,동해중부,경포해수욕장,20210831,AM,23.3,3,25.2,5,3.8,4,0.2,5,4.60,좋음
20210831,HS35,동해중부,경포해수욕장,20210831,PM,22.9,3,25.3,5,3.9,4,0.2,5,4.60,좋음
20210831,HS36,동해중부,망상해수욕장,20210831,AM,24.7,4,24.3,5,3.5,4,0.2,5,4.65,좋음
20210831,HS36,동해중부,망상해수욕장,20210831,PM,22.2,3,24.5,5,3.3,4,0.2,5,4.60,좋음
20210831,HS37,동해중부,속초해수욕장,20210831,AM,23.6,3,25.8,5,3.9,4,0.2,5,4.60,좋음
20210831,HS37,동해중부,속초해수욕장,20210831,PM,22.7,3,25.4,5,5.0,3,0.2,5,4.30,좋음
20210831,HS38,동해중부,낙산해수욕장,20210831,AM,23.7,3,25.9,5,3.8,4,0.2,5,4.60,좋음
20210831,HS38,동해중부,낙산해수욕장,20210831,PM,22.8,3,26.0,5,4.8,4,0.2,5,4.60,좋음
20210831,HS39,동해남부,영일대해수욕장,20210831,AM,23.7,3,24.0,5,4.0,4,0.1,5,4.60,좋음
20210831,HS39,동해남부,영일대해수욕장,20210831,PM,24.2,4,24.2,5,4.7,4,0.1,5,4.65,좋음
20210831,HS40,동해남부,월포해수욕장,20210831,AM,22.3,3,23.4,5,4.5,4,0.1,5,4.60,좋음
20210831,HS40,동해남부,월포해수욕장,20210831,PM,23.4,3,23.7,5,5.2,3,0.3,5,4.30,좋음
20210831,HS41,동해중부,주문진해수욕장,20210831,AM,23.7,3,24.6,5,3.4,4,0.2,5,4.60,좋음
20210831,HS41,동해중부,주문진해수욕장,20210831,PM,23.1,3,24.7,5,4.0,4,0.2,5,4.60,좋음
20210831,HS42,동해남부,고래불해수욕장,20210831,AM,22.3,3,24.1,5,3.0,4,0.1,5,4.60,좋음
20210831,HS42,동해남부,고래불해수욕장,20210831,PM,22.9,3,24.2,5,6.5,3,0.2,5,4.30,좋음
20210831,HS43,동해중부,화진포해수욕장,20210831,AM,23.0,3,26.8,5,4.7,4,0.2,5,4.60,좋음
20210831,HS43,동해중부,화진포해수욕장,20210831,PM,22.7,3,27.2,5,4.9,4,0.3,5,4.60,좋음
20210831,HS44,동해남부,관성해수욕장,20210831,AM,24.8,4,23.2,5,4.3,4,0.1,5,4.65,좋음
20210831,HS44,동해남부,관성해수욕장,20210831,PM,24.1,4,23.6,5,4.3,4,0.1,5,4.65,좋음
20210831,HS46,동해중부,삼척해수욕장,20210831,AM,23.0,3,24.2,5,3.3,4,0.2,5,4.60,좋음
20210831,HS46,동해중부,삼척해수욕장,20210831,PM,22.7,3,24.3,5,3.7,4,0.2,5,4.60,좋음
20210831,HS47,동해중부,송지호해수욕장,20210831,AM,23.3,3,26.4,5,4.3,4,0.2,5,4.60,좋음
20210831,HS47,동해중부,송지호해수욕장,20210831,PM,22.7,3,27.3,5,4.7,4,0.3,5,4.60,좋음
20210831,HS49,동해남부,칠포해수욕장,20210831,AM,22.5,3,23.4,5,4.2,4,0.1,5,4.60,좋음
20210831,HS49,동해남부,칠포해수욕장,20210831,PM,23.6,3,23.7,5,5.4,3,0.3,5,4.30,좋음
20210831,HS50,동해남부,진하해수욕장,20210831,AM,24.4,4,21.9,4,5.1,3,0.1,5,4.25,좋음
20210831,HS50,동해남부,진하해수욕장,20210831,PM,24.8,4,22.9,5,5.6,3,0.1,5,4.35,좋음
20210831,HS51,황해남부,변산해수욕장,20210831,AM,24.0,4,26.6,5,3.6,4,0.1,5,4.65,좋음
20210831,HS51,황해남부,변산해수욕장,20210831,PM,24.8,4,27.1,5,3.0,4,0.1,5,4.65,좋음
20210831,HS52,황해남부,선유도해수욕장,20210831,AM,24.2,4,25.7,5,3.2,4,0.1,5,4.65,좋음
20210831,HS52,황해남부,선유도해수욕장,20210831,PM,25.1,4,26.3,5,2.2,4,0.2,5,4.65,좋음
20210831,HS53,황해남부,구시포해수욕장,20210831,AM,24.1,4,27.3,5,3.7,4,0.1,5,4.65,좋음
20210831,HS53,황해남부,구시포해수욕장,20210831,PM,24.9,4,27.6,5,3.6,4,0.2,5,4.65,좋음
20210831,HS1,황해중부,대천해수욕장,20210901,AM,25.1,4,26.0,5,11.8,1,1.0,3,2.65,나쁨
20210831,HS1,황해중부,대천해수욕장,20210901,PM,24.4,4,26.2,5,6.3,3,0.9,4,3.80,보통
20210831,HS2,황해중부,춘장대해수욕장,20210901,AM,25.2,4,26.1,5,14.9,1,0.9,4,3.20,보통
20210831,HS2,황해중부,춘장대해수욕장,20210901,PM,24.7,4,26.5,5,6.9,3,0.7,4,3.80,보통
20210831,HS3,황해중부,무창포해수욕장,20210901,AM,25.0,4,26.1,5,14.6,1,1.0,3,2.65,나쁨
20210831,HS3,황해중부,무창포해수욕장,20210901,PM,24.5,4,26.4,5,6.0,3,0.9,4,3.80,보통
20210831,HS4,황해중부,꽃지해수욕장,20210901,AM,25.9,4,25.5,5,7.1,3,0.8,4,3.80,보통
20210831,HS4,황해중부,꽃지해수욕장,20210901,PM,24.4,4,25.9,5,5.4,3,0.6,4,3.80,보통
20210831,HS5,황해중부,만리포해수욕장,20210901,AM,24.8,4,23.8,5,4.9,4,0.7,4,4.10,좋음
20210831,HS5,황해중부,만리포해수욕장,20210901,PM,23.5,3,24.0,5,4.1,4,0.6,4,4.05,좋음
20210831,HS6,황해중부,몽산포해수욕장,20210901,AM,24.6,4,25.4,5,6.3,3,0.6,4,3.80,보통
20210831,HS6,황해중부,몽산포해수욕장,20210901,PM,23.8,3,25.6,5,6.5,3,0.5,4,3.75,보통
20210831,HS7,황해남부,우전해수욕장,20210901,AM,26.0,4,26.7,5,10.3,1,0.9,4,3.20,보통
20210831,HS7,황해남부,우전해수욕장,20210901,PM,25.9,4,26.9,5,10.2,1,0.6,4,3.20,보통
20210831,HS8,황해중부,연포해수욕장,20210901,AM,24.4,4,25.3,5,6.2,3,0.5,4,3.80,보통
20210831,HS8,황해중부,연포해수욕장,20210901,PM,23.6,3,25.6,5,6.0,3,0.5,4,3.75,보통
20210831,HS9,황해중부,어은돌해수욕장,20210901,AM,23.9,3,24.1,5,5.5,3,0.8,4,3.75,보통
20210831,HS9,황해중부,어은돌해수욕장,20210901,PM,23.3,3,24.8,5,4.8,4,0.7,4,4.05,좋음
20210831,HS10,황해중부,신두리해수욕장,20210901,AM,24.8,4,23.3,5,4.3,4,0.4,5,4.65,좋음
20210831,HS10,황해중부,신두리해수욕장,20210901,PM,23.4,3,23.6,5,3.6,4,0.4,5,4.60,좋음
20210831,HS11,황해중부,학암포해수욕장,20210901,AM,23.8,3,23.8,5,4.8,4,0.5,4,4.05,좋음
20210831,HS11,황해중부,학암포해수욕장,20210901,PM,23.1,3,24.5,5,3.9,4,0.7,4,4.05,좋음
20210831,HS12,황해남부,가마미해수욕장,20210901,AM,25.8,4,27.1,5,11.4,1,1.1,3,2.65,나쁨
20210831,HS12,황해남부,가마미해수욕장,20210901,PM,25.4,4,27.2,5,10.9,1,0.7,4,3.20,보통
20210831,HS15,황해남부,가계해수욕장,20210901,AM,26.2,4,26.6,5,9.9,2,0.4,5,4.05,좋음
20210831,HS15,황해남부,가계해수욕장,20210901,PM,26.2,4,26.7,5,9.7,2,0.3,5,4.05,좋음
20210831,HS16,황해중부,을왕리해수욕장,20210901,AM,22.0,3,25.4,5,9.6,2,0.3,5,4.00,좋음
20210831,HS16,황해중부,을왕리해수욕장,20210901,PM,22.9,3,25.3,5,7.2,3,0.3,5,4.30,좋음
20210831,HS17,남해서부,만성리해수욕장,20210901,AM,25.5,4,25.9,5,8.8,2,0.3,5,4.05,좋음
20210831,HS17,남해서부,만성리해수욕장,20210901,PM,25.9,4,25.7,5,9.2,2,0.3,5,4.05,좋음
20210831,HS18,남해동부,상주해수욕장,20210901,AM,26.6,4,26.5,5,6.6,3,1.0,3,3.25,보통
20210831,HS18,남해동부,상주해수욕장,20210901,PM,26.2,4,26.5,5,7.2,3,1.1,3,3.25,보통
20210831,HS19,남해서부,명사십리해수욕장,20210901,AM,26.3,4,25.3,5,9.4,2,0.3,5,4.05,좋음
20210831,HS19,남해서부,명사십리해수욕장,20210901,PM,26.6,4,25.3,5,9.8,2,0.3,5,4.05,좋음
20210831,HS20,제주도,함덕서우봉해수욕장,20210901,AM,27.7,5,27.3,5,10.0,1,0.5,4,3.25,보통
20210831,HS20,제주도,함덕서우봉해수욕장,20210901,PM,28.3,5,27.5,5,11.2,1,0.5,4,3.25,보통
20210831,HS21,제주도,협재해수욕장,20210901,AM,27.2,5,27.7,5,8.9,2,0.1,5,4.10,좋음
20210831,HS21,제주도,협재해수욕장,20210901,PM,27.1,5,27.9,5,8.5,2,0.1,5,4.10,좋음
20210831,HS22,제주도,중문색달해수욕장,20210901,AM,26.8,4,27.6,5,6.1,3,0.5,4,3.80,보통
20210831,HS22,제주도,중문색달해수욕장,20210901,PM,26.9,4,27.9,5,6.8,3,0.6,4,3.80,보통
20210831,HS23,남해서부,율포해수욕장,20210901,AM,26.2,4,28.3,5,10.5,1,0.4,5,3.75,보통
20210831,HS23,남해서부,율포해수욕장,20210901,PM,27.2,5,28.5,5,7.6,3,0.4,5,4.40,좋음
20210831,HS24,황해남부,송호해수욕장,20210901,AM,26.3,4,24.3,5,9.8,2,0.6,4,3.50,보통
20210831,HS24,황해남부,송호해수욕장,20210901,PM,26.3,4,24.0,5,10.4,1,0.6,4,3.20,보통
20210831,HS25,제주도,이호테우해수욕장,20210901,AM,31.4,5,28.1,5,9.3,2,0.6,4,3.55,보통
20210831,HS25,제주도,이호테우해수욕장,20210901,PM,29.9,5,28.4,5,8.8,2,0.6,4,3.55,보통
20210831,HS26,제주도,표선해비치해수욕장,20210901,AM,30.5,5,27.3,5,7.7,3,0.5,4,3.85,보통
